CIP13;NOM COURT;PRODUIT;Code EphMRA;Classe EphMRA;"Code
ATC";"Classe
ATC";"Code
ATC 2";"Libellé
ATC 2";Base de remboursement 2016-01;"Nombre de boites remboursées 
2016-01";"Montant remboursé 
2016-01";Base de remboursement 2016-02;"Nombre de boites remboursées 
2016-02";"Montant remboursé 
2016-02";Base de remboursement 2016-03;"Nombre de boites remboursées 
2016-03";"Montant remboursé 
2016-03";Base de remboursement 2016-04;"Nombre de boites remboursées 
2016-04";"Montant remboursé 
2016-04"
3400921609660;ESOMEPRAZOLE BIOGARAN 40 MG CPR GASTRORESISTANT 28;ESOMEPRAZOLE BIOGARAN;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;163 €;17;115 €;114 €;14;91 €;155 €;17;126 €;114 €;12;83 €
3400921610550;POLYGYNAX VIRGO CAPSULE VAGINALE 6;POLYGYNAX;G01B;ANTIFONGIQUES GYNECOLOGIQUES;G01AA51;NYSTATINE EN ASSOCIATION;G01;ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE;6 312 €;2 311;1 967 €;6 452 €;2 380;2 030 €;4 974 €;1 820;1 527 €;2 549 €;929;799 €
3400921610840;NICORANDIL SANDOZ 20 MG CPR 30;NICORANDIL SANDOZ;C01D;THERAPEUTIQUE CORONARIENNE, ANTAGONISTES CALCIQUES ET DERIVES NITRES EXCLUS;C01DX16;NICORANDIL;C01;MEDICAMENTS EN CARDIOLOGIE;23 651 €;3 132;23 103 €;27 342 €;3 630;26 591 €;32 539 €;4 338;31 693 €;33 180 €;4 422;32 190 €
3400921611731;NICORANDIL SANDOZ 10 MG CPR SEC 30;NICORANDIL SANDOZ;C01D;THERAPEUTIQUE CORONARIENNE, ANTAGONISTES CALCIQUES ET DERIVES NITRES EXCLUS;C01DX16;NICORANDIL;C01;MEDICAMENTS EN CARDIOLOGIE;38 432 €;9 868;36 776 €;44 582 €;11 563;42 624 €;53 804 €;14 012;51 498 €;52 470 €;13 668;50 310 €
3400921612790;LHRH FERRING 100 MCG/ML SOL INJ 1/1 ML;LHRH FERRING;T02X9;TOUS AUTRES TESTS DIAGNOSTIQUES;V04CM01;GONADORELINE;V04;MEDICAMENTS POUR DIAGNOSTIC;365 €;17;245 €;343 €;16;230 €;536 €;22;348 €;450 €;21;308 €
3400921617535;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 MG/12,5 MG CPR 30;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA03;VALSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;4 064 €;599;3 302 €;4 026 €;607;3 296 €;4 538 €;682;3 741 €;4 263 €;639;3 484 €
3400921618075;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 MG/12,5 MG CPR 90;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA03;VALSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;7 145 €;363;5 398 €;6 510 €;325;4 993 €;7 284 €;371;5 438 €;7 024 €;356;5 372 €
3400921619195;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/12,5 MG CPR 30;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA03;VALSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;4 806 €;710;4 019 €;4 618 €;688;3 843 €;4 947 €;745;4 131 €;4 613 €;690;3 870 €
3400921619546;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/12,5 MG CPR 90;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA03;VALSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;7 526 €;378;5 901 €;7 772 €;390;6 042 €;8 439 €;433;6 656 €;8 309 €;421;6 493 €
3400921620726;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/25 MG CPR 30;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA03;VALSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;6 451 €;970;5 460 €;6 659 €;1 011;5 668 €;6 865 €;1 034;5 823 €;6 828 €;1 030;5 759 €
3400921621266;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/25 MG CPR 90;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA03;VALSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;9 223 €;473;7 262 €;9 650 €;494;7 790 €;10 507 €;539;8 486 €;10 172 €;520;8 062 €
3400921622218;ESOMEPRAZOLE TEVA PHARMA 40 MG CPR GASTRORESISTANT 14;ESOMEPRAZOLE TEVA PHARMA;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0 €;0;0 €;0 €;0;0 €;0 €;0;0 €;4 €;1;3 €
3400921623796;ESOMEPRAZOLE MYPLIX 20 MG CPR GASTRORESISTANT 28;ESOMEPRAZOLE MYPLIX;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0 €;0;0 €;7 €;1;7 €;0 €;0;0 €;0 €;0;0 €
3400921625929;LEVETIRACETAM TEVA 250 MG CPR 60;LEVETIRACETAM TEVA;N03A;ANTIEPILEPTIQUES;N03AX14;LEVETIRACETAM;N03;ANTIEPILEPTIQUES;4 722 €;250;4 223 €;9 630 €;503;8 706 €;12 237 €;643;10 945 €;12 949 €;683;11 590 €
3400921626001;LEVETIRACETAM TEVA 500 MG CPR 60;LEVETIRACETAM TEVA;N03A;ANTIEPILEPTIQUES;N03AX14;LEVETIRACETAM;N03;ANTIEPILEPTIQUES;121 717 €;3 341;109 469 €;132 281 €;3 615;119 664 €;148 033 €;4 045;133 309 €;149 549 €;4 052;135 834 €
3400921626179;LEVETIRACETAM TEVA 1000 MG CPR 60;LEVETIRACETAM TEVA;N03A;ANTIEPILEPTIQUES;N03AX14;LEVETIRACETAM;N03;ANTIEPILEPTIQUES;25 569 €;365;23 052 €;25 098 €;355;22 907 €;27 559 €;389;24 774 €;26 556 €;370;24 198 €
3400921633382;ESOMEPRAZOLE ARROW 20 MG CPR GASTRORESISTANT 7;ESOMEPRAZOLE ARROW;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;3 €;1;2 €;2 €;1;1 €;5 €;3;3 €;0 €;0;0 €
3400921633443;ESOMEPRAZOLE ARROW 20 MG CPR GASTRORESISTANT 14;ESOMEPRAZOLE ARROW;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;30 €;8;26 €;19 €;5;12 €;0 €;0;0 €;24 €;6;18 €
3400921633672;ESOMEPRAZOLE ARROW 20 MG CPR GASTRORESISTANT 28;ESOMEPRAZOLE ARROW;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;244 €;32;195 €;283 €;37;207 €;364 €;47;289 €;215 €;29;178 €
3400921634792;ESOMEPRAZOLE ARROW 40 MG CPR GASTRORESISTANT 14;ESOMEPRAZOLE ARROW;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;31 €;5;23 €;4 €;1;3 €;8 €;2;8 €;0 €;0;0 €
3400921634914;ESOMEPRAZOLE ARROW 40 MG CPR GASTRORESISTANT 28;ESOMEPRAZOLE ARROW;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;336 €;41;264 €;231 €;28;174 €;303 €;33;225 €;327 €;39;243 €
3400921636116;LETROZOLE CRISTERS 2,5 MG CPR 30;LETROZOLE CRISTERS;L02B3;INHIBITEURS DE L'AROMATASE CYTOSTATIQUES;L02BG04;LETROZOLE;L02;THERAPEUTIQUE ENDOCRINE;42 531 €;681;42 471 €;41 297 €;657;41 117 €;47 879 €;775;47 879 €;45 664 €;739;45 544 €
3400921636345;ESOCIFAR 20 MG Gé CPR GASTRORESISTANT 14;ESOCIFAR Gé;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0 €;0;0 €;7 €;1;5 €;0 €;0;0 €;0 €;0;0 €
3400921637694;ESOCIFAR 40 MG Gé CPR GASTRORESISTANT 14;ESOCIFAR Gé;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0 €;0;0 €;0 €;0;0 €;0 €;0;0 €;4 €;1;3 €
3400921642148;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 50 MG/12,5 MG CPR SEC 90;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA01;LOSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;0 €;0;0 €;0 €;0;0 €;18 €;1;12 €;18 €;1;12 €
3400921643497;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 100 MG/12,5 MG CPR 28;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA01;LOSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;17 944 €;2 802;14 970 €;18 563 €;2 942;15 371 €;20 710 €;3 283;17 177 €;20 070 €;3 168;16 661 €
3400921644098;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 100 MG/12,5 MG CPR 90;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA;C09D1;ASSOCIATIONS ANTAGONISTES DE L'ANGIOTENSINE II ET ANTIHYPERTENSEURS (C2) ET/OU DIURETIQUES;C09DA01;LOSARTAN ET DIURETIQUES;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;21 664 €;1 103;16 835 €;23 661 €;1 192;18 523 €;27 395 €;1 392;21 303 €;25 468 €;1 305;19 974 €
3400921650181;ATORVASTATINE ZENTIVA 80 MG CPR 30;ATORVASTATINE ZENTIVA;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;17 €;2;17 €;8 €;1;8 €;27 €;3;24 €;7 €;1;7 €
3400921650990;ATORVASTATINE ZENTIVA 10 MG CPR 30;ATORVASTATINE ZENTIVA;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;16 €;2;16 €;16 €;1;16 €;0 €;0;0 €;7 €;1;7 €
3400921651362;ATORVASTATINE ZENTIVA 10 MG CPR 90;ATORVASTATINE ZENTIVA;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;24 €;1;15 €;31 €;1;20 €;0 €;0;0 €;20 €;1;20 €
3400921651881;ATORVASTATINE ZENTIVA 20 MG CPR 30;ATORVASTATINE ZENTIVA;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;8 €;1;5 €;8 €;1;6 €;0 €;0;0 €;0 €;0;0 €
3400921652192;ATORVASTATINE ZENTIVA 20 MG CPR 90;ATORVASTATINE ZENTIVA;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;24 €;1;24 €;24 €;1;24 €;24 €;1;15 €;0 €;0;0 €
3400921652604;ATORVASTATINE ZENTIVA 40 MG CPR 30;ATORVASTATINE ZENTIVA;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;0 €;0;0 €;8 €;1;8 €;0 €;0;0 €;0 €;0;0 €
3400921653663;DOXAZOSINE MYLAN LP 4 MG CPR 28;DOXAZOSINE MYLAN;G04C2;ALPHA-BLOQUANTS POUR L'HYPERTROPHIE BENIGNE DE LA PROSTATE;G04CA;DOXAZOSINE;G04;MEDICAMENTS UROLOGIQUES;49 135 €;7 553;19 004 €;50 513 €;7 836;19 513 €;55 712 €;8 656;21 752 €;52 937 €;8 201;20 585 €
3400921654783;EXEMESTANE RANBAXY 25 MG CPR 30;EXEMESTANE RANBAXY;L02B3;INHIBITEURS DE L'AROMATASE CYTOSTATIQUES;L02BG06;EXEMESTANE;L02;THERAPEUTIQUE ENDOCRINE;7 348 €;109;7 348 €;7 802 €;114;7 802 €;7 539 €;111;7 539 €;6 556 €;97;6 556 €
3400921655674;DOXAZOSINE ACTAVIS LP 8 MG CPR 28;DOXAZOSINE ACTAVIS;G04C2;ALPHA-BLOQUANTS POUR L'HYPERTROPHIE BENIGNE DE LA PROSTATE;G04CA;DOXAZOSINE;G04;MEDICAMENTS UROLOGIQUES;6 418 €;982;2 426 €;7 120 €;1 093;2 676 €;8 073 €;1 245;3 118 €;7 875 €;1 215;3 114 €
3400921656794;DOXAZOSINE MYLAN LP 8 MG CPR 28;DOXAZOSINE MYLAN;G04C2;ALPHA-BLOQUANTS POUR L'HYPERTROPHIE BENIGNE DE LA PROSTATE;G04CA;DOXAZOSINE;G04;MEDICAMENTS UROLOGIQUES;99 851 €;15 220;38 274 €;100 922 €;15 477;38 807 €;107 445 €;16 574;41 306 €;102 155 €;15 741;39 077 €
3400921658286;CLARELUX 500 MCG/G MOUSSE APPL CUT FL 1/100 G;CLARELUX;D07A;CORTICOIDES A USAGE TOPIQUE NON ASSOCIES;D07AD01;CLOBETASOL;D07;CORTICOIDES, PREPARATIONS DERMATOLOGIQUES;250 294 €;17 365;171 634 €;279 630 €;19 345;191 739 €;296 786 €;20 566;203 204 €;267 571 €;18 528;183 969 €
3400921659177;DESLORATADINE MYLAN PHARMA 5 MG CPR 15;DESLORATADINE MYLAN PHARMA;R06A;ANTIHISTAMINIQUES SYSTEMIQUES;R06AX27;DESLORATADINE;R06;ANTIHISTAMINIQUES A USAGE SYSTEMIQUE;18 130 €;8 095;6 133 €;10 647 €;4 622;3 574 €;7 161 €;3 079;2 385 €;4 351 €;1 868;1 478 €
3400921659528;DESLORATADINE MYLAN PHARMA 5 MG CPR 30;DESLORATADINE MYLAN PHARMA;R06A;ANTIHISTAMINIQUES SYSTEMIQUES;R06AX27;DESLORATADINE;R06;ANTIHISTAMINIQUES A USAGE SYSTEMIQUE;59 762 €;12 376;22 301 €;46 237 €;9 379;16 996 €;28 318 €;5 835;10 366 €;12 954 €;2 871;4 710 €
3400921659696;DONEPEZIL BIOGARAN 5 MG CPR 28;DONEPEZIL BIOGARAN;N07D1;MEDICAMENTS CONTRE LA MALADIE D'ALZHEIMER, INHIBITEURS DE LA CHOLINESTERASE;N06DA02;DONEPEZIL;N06;PSYCHOANALEPTIQUES;55 357 €;1 917;44 999 €;57 293 €;1 986;46 405 €;65 385 €;2 267;53 927 €;59 592 €;2 127;48 308 €
3400921659986;DONEPEZIL BIOGARAN 10 MG CPR 28;DONEPEZIL BIOGARAN;N07D1;MEDICAMENTS CONTRE LA MALADIE D'ALZHEIMER, INHIBITEURS DE LA CHOLINESTERASE;N06DA02;DONEPEZIL;N06;PSYCHOANALEPTIQUES;181 658 €;6 251;162 176 €;183 469 €;6 323;162 839 €;197 268 €;6 804;175 396 €;176 831 €;6 336;157 335 €
3400921661477;DESOGESTREL MYLAN 75 MCG CPR 28;DESOGESTREL MYLAN;G03A5;PROGESTATIFS SEULS, VOIE ORALE;G03AC09;DESOGESTREL;G03;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE;1 152 €;962;813 €;1 141 €;963;813 €;1 209 €;1 010;869 €;1 121 €;930;805 €
3400921661538;DESOGESTREL MYLAN 75 MCG CPR 84;DESOGESTREL MYLAN;G03A5;PROGESTATIFS SEULS, VOIE ORALE;G03AC09;DESOGESTREL;G03;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE;56 792 €;18 885;39 120 €;58 781 €;19 866;40 303 €;62 968 €;21 267;43 117 €;60 064 €;20 283;41 122 €
3400921662078;AMOROLFINE RANBAXY 5% VERNIS A ONGLES MEDIC 1/2,5 ML;AMOROLFINE RANBAXY;D01A1;ANTIFONGIQUES TOPIQUES A USAGE DERMATOLOGIQUE;D01AE16;AMOROLFINE;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;8 764 €;618;3 195 €;8 087 €;588;2 929 €;8 600 €;622;3 106 €;8 257 €;603;2 928 €
3400921663020;AMOROLFINE CRISTERS 5 % VERNIS A ONGLES MEDIC 1/2,5 ML;AMOROLFINE CRISTERS;D01A1;ANTIFONGIQUES TOPIQUES A USAGE DERMATOLOGIQUE;D01AE16;AMOROLFINE;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;19 565 €;1 413;6 866 €;21 485 €;1 540;7 782 €;26 441 €;1 924;9 416 €;24 320 €;1 755;8 659 €
3400921663839;ATORVASTATINE ISOMED 10 MG CPR 28;ATORVASTATINE ISOMED;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;0 €;0;0 €;0 €;0;0 €;0 €;0;0 €;8 €;1;5 €
3400921664379;ATORVASTATINE ISOMED 10 MG CPR 90;ATORVASTATINE ISOMED;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;101 €;4;66 €;27 €;1;17 €;0 €;0;0 €;0 €;0;0 €
3400921664430;ATORVASTATINE ISOMED 20 MG CPR 28;ATORVASTATINE ISOMED;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;15 €;2;15 €;0 €;0;0 €;0 €;0;0 €;0 €;0;0 €
3400921664959;ATORVASTATINE ISOMED 20 MG CPR 90;ATORVASTATINE ISOMED;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;1 216 €;50;1 058 €;877 €;37;769 €;853 €;34;741 €;256 €;12;215 €
3400921665550;ATORVASTATINE ISOMED 40 MG CPR 28;ATORVASTATINE ISOMED;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;30 €;3;30 €;60 €;4;47 €;24 €;2;18 €;6 €;1;6 €
3400921666441;ATORVASTATINE ISOMED 80 MG CPR 90;ATORVASTATINE ISOMED;C10A1;STATINES (INHIBITEURS DE LA HMG-CoA REDUCTASE);C10AA05;ATORVASTATINE;C10;AGENTS MODIFIANT LES LIPIDES;73 €;3;73 €;71 €;3;63 €;20 €;1;13 €;20 €;1;20 €
3400921672763;GLIMEPIRIDE ACCORD HEALTHCARE 2 MG CPR 90;GLIMEPIRIDE ACCORD HEALTHCARE;A10H;ANTIDIABETIQUES SULFAMIDES;A10BB12;GLIMEPIRIDE;A10;MEDICAMENTS DU DIABETE;0 €;0;0 €;12 €;1;12 €;0 €;0;0 €;0 €;0;0 €
3400921672824;GLIMEPIRIDE ACCORD HEALTHCARE 3 MG CPR 90;GLIMEPIRIDE ACCORD HEALTHCARE;A10H;ANTIDIABETIQUES SULFAMIDES;A10BB12;GLIMEPIRIDE;A10;MEDICAMENTS DU DIABETE;16 €;1;16 €;16 €;1;16 €;0 €;0;0 €;0 €;0;0 €
3400921673074;ALLOPURINOL ZENTIVA 100 MG CPR 28;ALLOPURINOL ZENTIVA;M04A;ANTIGOUTTEUX;M04AA01;ALLOPURINOL;M04;ANTIGOUTTEUX;26 916 €;22 745;21 241 €;27 353 €;23 243;21 562 €;29 756 €;25 347;23 488 €;28 389 €;24 155;22 387 €
3400921675894;ALLOPURINOL ZENTIVA 200 MG CPR 28;ALLOPURINOL ZENTIVA;M04A;ANTIGOUTTEUX;M04AA01;ALLOPURINOL;M04;ANTIGOUTTEUX;37 167 €;21 844;28 928 €;37 290 €;22 274;28 964 €;40 565 €;24 360;31 587 €;39 047 €;23 417;30 399 €
3400921676266;ALLOPURINOL ZENTIVA 300 MG CPR 28;ALLOPURINOL ZENTIVA;M04A;ANTIGOUTTEUX;M04AA01;ALLOPURINOL;M04;ANTIGOUTTEUX;17 820 €;8 354;13 888 €;18 101 €;8 676;14 073 €;19 373 €;9 321;15 028 €;18 825 €;9 025;14 649 €
3400921676327;ENBREL 10 MG PDRE SOLV SOL INJ 4;ENBREL;L04B;PRODUITS ANTI-TNF;L04AB01;ETANERCEPT;L04;IMMUNOSUPPRESSEURS;23 289 €;129;22 263 €;23 975 €;134;23 130 €;29 839 €;170;27 907 €;26 562 €;150;24 992 €
